symbol,1.0.0,1.2.0,1.3.0,1.4.0
_ZN9LiveActor26initActorStarPointerTargetEfNPK9JGeometry5TVec3IfEEPA4_fN9JGeometry5TVec3IfEE,0x0015D1E4,0x0015D7C4,0x0015D224,0x0015DE54
_ZN9LiveActor18initActorLightCtrlEv,0x0015D25C,0x0015D83C,0x0015D29C,0x0015DECC
_ZN9LiveActor12attackSensorEP9HitSensorS1_,0x0015D290,0x0015D870,0x0015D2D0,0x0015DF00
_ZN9LiveActorD1Ev,0x0015D294,0x0015D874,0x0015D2D4,0x0015DF04
_ZN9LiveActor7controlEv,0x0015D2B8,0x0015D898,0x0015D2F8,0x0015DF28
_ZN9LiveActor22receiveMsgPlayerAttackEmP9HitSensorP9HitSensor,0x0015D2BC,0x0015D89C,0x0015D2FC,0x0015DF2C
_ZN9LiveActor15receiveOtherMsgEmP9HitSensorP9HitSensor,0x0015D2C4,0x0015D8A4,0x0015D304,0x0015DF34
_ZN13LiveActorFlagC1Ev,0x0015D2CC,0x0015D8AC,0x0015D30C,0x0015DF3C
_ZN11SensorGroupC1EiPKc,0x0015E6A0,0x0015EC80,0x0015E6E0,0x0015F310
_ZN11SensorGroup3addEP9HitSensor,0x0015E704,0x0015ECE4,0x0015E744,0x0015F374
_ZN11SensorGroup6removeEP9HitSensor,0x0015E730,0x0015ED10,0x0015E770,0x0015F3A0
_ZN16SensorHitCheckerC1EPKc,0x0015E788,0x0015ED68,0x0015E7C8,0x0015F3F8
_ZN16SensorHitChecker4initERK12JMapInfoIter,0x0015E884,0x0015EE64,0x0015E8C4,0x0015F4F4
_ZN16SensorHitChecker9initGroupEP9HitSensor,0x0015E898,0x0015EE78,0x0015E8D8,0x0015F508
_ZN16SensorHitChecker8movementEv,0x0015E9C0,0x0015EFA0,0x0015EA00,0x0015F630
_ZNK16SensorHitChecker13doObjColGroupEP11SensorGroupP11SensorGroup,0x0015EB90,0x0015F170,0x0015EBD0,0x0015F800
_ZNK16SensorHitChecker19doObjColInSameGroupEP11SensorGroup,0x0015ED00,0x0015F2E0,0x0015ED40,0x0015F970
_ZN2MR18initHitSensorGroupEP9HitSensor,0x0015EE40,0x0015F420,0x0015EE80,0x0015FAB0
_ZN16SensorHitCheckerD1Ev,0x0015EE6C,0x0015F44C,0x0015EEAC,0x0015FADC
_ZN15HitSensorKeeperC1Ei,0x0015EE90,0x0015F470,0x0015EED0,0x0015FB00
_ZN15HitSensorKeeper3addEPKcmtfP9LiveActorNRK9JGeometry5TVec3IfEE,0x0015EEF4,0x0015F4D4,0x0015EF34,0x0015FB64
_ZN15HitSensorKeeper11addCallbackEPKcmtfP9LiveActor,0x0015EFB8,0x0015F598,0x0015EFF8,0x0015FC28
_ZNK15HitSensorKeeper9getSensorEPKc,0x0015F090,0x0015F670,0x0015F0D0,0x0015FD00
_ZN15HitSensorKeeper6updateEv,0x0015F150,0x0015F730,0x0015F190,0x0015FDC0
_ZN15HitSensorKeeper8doObjColEv,0x0015F1A0,0x0015F780,0x0015F1E0,0x0015FE10
_ZN15HitSensorKeeper5clearEv,0x0015F1F0,0x0015F7D0,0x0015F230,0x0015FE60
_ZN15HitSensorKeeper8validateEv,0x0015F230,0x0015F810,0x0015F270,0x0015FEA0
_ZN15HitSensorKeeper10invalidateEv,0x0015F280,0x0015F860,0x0015F2C0,0x0015FEF0
_ZN15HitSensorKeeper16validateBySystemEv,0x0015F2D0,0x0015F8B0,0x0015F310,0x0015FF40
_ZN15HitSensorKeeper18invalidateBySystemEv,0x0015F320,0x0015F900,0x0015F360,0x0015FF90
_ZNK15HitSensorKeeper16getNthSensorInfoEi,0x0015F36C,0x0015F94C,0x0015F3AC,0x0015FFDC
_ZNK15HitSensorKeeper13getSensorInfoEPKc,0x0015F380,0x0015F960,0x0015F3C0,0x0015FFF0
_ZN9HitSensorC1EmtfP9LiveActor,0x0015F440,0x0015FA20,0x0015F480,0x001600B0
_ZN9HitSensor14receiveMessageEmP9HitSensor,0x0015F4C8,0x0015FAA8,0x0015F508,0x00160138
_ZN9HitSensor7setTypeEm,0x0015F4DC,0x0015FABC,0x0015F51C,0x0016014C
_ZNK9HitSensor6isTypeEm,0x0015F554,0x0015FB34,0x0015F594,0x001601C4
_ZN9HitSensor8validateEv,0x0015F564,0x0015FB44,0x0015F5A4,0x001601D4
_ZN9HitSensor10invalidateEv,0x0015F594,0x0015FB74,0x0015F5D4,0x00160204
_ZN9HitSensor16validateBySystemEv,0x0015F5DC,0x0015FBBC,0x0015F61C,0x0016024C
_ZN9HitSensor18invalidateBySystemEv,0x0015F628,0x0015FC08,0x0015F668,0x00160298
_ZN9HitSensor12addHitSensorEP9HitSensor,0x0015F670,0x0015FC50,0x0015F6B0,0x001602E0
_ZN13HitSensorInfo12setFollowPosENPK9JGeometry5TVec3IfEE,0x0015F698,0x0015FC78,0x0015F6D8,0x00160308
_ZN13HitSensorInfo12setFollowMtxEPA4_f,0x0015F6A0,0x0015FC80,0x0015F6E0,0x00160310
_ZN13HitSensorInfoC1EPKcP9HitSensorNPK9JGeometry5TVec3IfEEPA4_fNRK9JGeometry5TVec3IfEEb,0x0015F6A8,0x0015FC88,0x0015F6E8,0x00160318
_ZN13HitSensorInfo6updateEv,0x0015F714,0x0015FCF4,0x0015F754,0x00160384
_ZN13HitSensorInfo8doObjColEv,0x0015F870,0x0015FE50,0x0015F8B0,0x001604E0
_ZN5SpineC1EPvPK5Nervel,0x00168EEC,0x001694DC,0x00168F3C,0x00169B6C
_ZN5Spine6updateEv,0x00168F44,0x00169534,0x00168F94,0x00169BC4
_ZN5Spine8setNerveEPK5Nerve,0x00168FE0,0x001695D0,0x00169030,0x00169C60
_ZNK5Spine15getCurrentNerveEv,0x0016902C,0x0016961C,0x0016907C,0x00169CAC
_ZN16ActorStateKeeperC1Ei,0x00169040,0x00169630,0x00169090,0x00169CC0
_ZN16ActorStateKeeper8addStateEP23ActorStateBaseInterfacePK5NervePKc,0x001690D0,0x001696C0,0x00169120,0x00169D50
_ZN16ActorStateKeeper18updateCurrentStateEv,0x001690F8,0x001696E8,0x00169148,0x00169D78
_ZN16ActorStateKeeper10startStateEPK5Nerve,0x00169120,0x00169710,0x00169170,0x00169DA0
_ZNK16ActorStateKeeper6isDeadEv,0x00169164,0x00169754,0x001691B4,0x00169DE4
_ZN16ActorStateKeeper8endStateEPK5Nerve,0x00169188,0x00169778,0x001691D8,0x00169E08
_ZN23ActorStateBaseInterface6updateEv,0x00170508,0x00170AF8,0x00170558,0x00171188
_ZN23ActorStateBaseInterface6appearEv,0x0017055C,0x00170B4C,0x001705AC,0x001711DC
_ZN23ActorStateBaseInterface4killEv,0x00170564,0x00170B54,0x001705B4,0x001711E4
_ZN7NameObjC1EPKc,0x00175E64,0x00176454,0x00175EB4,0x00176AE4
_ZN7NameObj7setNameEPKc,0x00175EBC,0x001764AC,0x00175F0C,0x00176B3C
_ZN7NameObjD1Ev,0x00175ED8,0x001764C8,0x00175F28,0x00176B58
_ZN7NameObj4initERK12JMapInfoIter,0x00175EFC,0x001764EC,0x00175F4C,0x00176B7C
_ZN7NameObj18initAfterPlacementEv,0x00175F00,0x001764F0,0x00175F50,0x00176B80
_ZN7NameObj8movementEv,0x00175F04,0x001764F4,0x00175F54,0x00176B84
_ZNK7NameObj4drawEv,0x00175F08,0x001764F8,0x00175F58,0x00176B88
_ZN7NameObj8calcAnimEv,0x00175F0C,0x001764FC,0x00175F5C,0x00176B8C
_ZN7NameObj16calcViewAndEntryEv,0x00175F10,0x00176500,0x00175F60,0x00176B90
_ZN7NameObj15initWithoutIterEv,0x00175F14,0x00176504,0x00175F64,0x00176B94
_ZN7NameObj13setLinkedInfoERK12JMapInfoIter,0x00175F48,0x00176538,0x00175F98,0x00176BC8
_ZN7NameObj15executeMovementEv,0x00175F50,0x00176540,0x00175FA0,0x00176BD0
_ZN7NameObj13syncWithFlagsEv,0x00175F68,0x00176558,0x00175FB8,0x00176BE8
_ZN15NameObjFunction17requestMovementOnEP7NameObj,0x00175FA0,0x00176590,0x00175FF0,0x00176C20
_ZN15NameObjFunction18requestMovementOffEP7NameObj,0x00175FD0,0x001765C0,0x00176020,0x00176C50
_ZN14NameObjFactory10getCreatorEPKc,0x00177ED0,0x001784C0,0x00177F20,0x00178B50
_ZN14NameObjFactory13createNameObjI16BenefitItemOneUpEEP7NameObjPKc,0x0017BF70,0x0017C5A0,0x0017C000,0x0017CC30
_ZNK15MorphItemObjNeo6isDemoEv,0x0018034C,0x0018097C,0x001803DC,0x0018100C
_ZN15MorphItemObjNeo17emitAppearEffectsEv,0x0018036C,0x0018099C,0x001803FC,0x0018102C
_ZN15MorphItemObjNeo20appearTransformationEv,0x00180370,0x001809A0,0x00180400,0x00181030
_ZN15MorphItemObjNeo18killTransformationEv,0x00180374,0x001809A4,0x00180404,0x00181034
_ZN14SceneObjHolderC1Ev,0x00180D48,0x00181378,0x00180DD8,0x00181A08
